epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.743,1.52232,2.12729,1.16615,0.37898,0.29628,0.26581,0.16531,1.40558,1.2673,1.0796,0.00332572,0.00332572,0.00332572
2,228.482,1.42129,1.40681,1.12076,0.59167,0.29669,0.37514,0.22261,1.36842,1.14368,1.07506,0.00662609,0.00662609,0.00662609
3,340.626,1.41902,1.32342,1.12296,0.51004,0.36067,0.39634,0.22551,1.40835,1.0877,1.09127,0.00989346,0.00989346,0.00989346
4,450.562,1.40439,1.24476,1.12461,0.55891,0.37442,0.42452,0.24872,1.30181,1.05107,1.06024,0.0098515,0.0098515,0.0098515
5,561.083,1.34498,1.11029,1.09652,0.56803,0.42221,0.47161,0.27498,1.31402,0.99112,1.06618,0.009802,0.009802,0.009802
6,671.292,1.30465,1.03982,1.0793,0.5514,0.47937,0.49297,0.30053,1.26492,0.93218,1.03288,0.0097525,0.0097525,0.0097525
7,781.487,1.28003,0.9931,1.06713,0.53451,0.45572,0.49673,0.30876,1.26251,0.95103,1.04581,0.009703,0.009703,0.009703
8,889.924,1.26118,0.95484,1.0585,0.62567,0.5136,0.55399,0.33134,1.25094,0.87678,1.03036,0.0096535,0.0096535,0.0096535
9,997.838,1.23324,0.91585,1.04655,0.6028,0.56125,0.58032,0.35424,1.20295,0.86595,1.01428,0.009604,0.009604,0.009604
10,1105.61,1.22263,0.90237,1.04467,0.70494,0.5218,0.60201,0.37416,1.19313,0.84484,1.01629,0.0095545,0.0095545,0.0095545
11,1213.52,1.19956,0.87111,1.03449,0.74407,0.52152,0.61831,0.38621,1.17813,0.82628,1.00771,0.009505,0.009505,0.009505
12,1321.4,1.18201,0.84655,1.0303,0.6473,0.56897,0.61984,0.38863,1.1377,0.81557,0.99349,0.0094555,0.0094555,0.0094555
13,1429.21,1.17227,0.83124,1.02325,0.66849,0.56909,0.61546,0.37754,1.17138,0.81304,1.00723,0.009406,0.009406,0.009406
14,1536.96,1.15698,0.81805,1.01693,0.71842,0.55758,0.64152,0.40986,1.15439,0.77386,1.0043,0.0093565,0.0093565,0.0093565
15,1644.76,1.15291,0.80913,1.01417,0.75399,0.5474,0.65163,0.42122,1.13381,0.77069,0.98468,0.009307,0.009307,0.009307
16,1752.66,1.1452,0.80067,1.0097,0.6885,0.60084,0.66026,0.41872,1.14566,0.76485,0.99373,0.0092575,0.0092575,0.0092575
17,1860.54,1.13167,0.78219,1.00699,0.79278,0.57616,0.68421,0.4374,1.1184,0.74676,0.97595,0.009208,0.009208,0.009208
18,1968.27,1.12481,0.77874,1.0041,0.66974,0.66215,0.68226,0.44924,1.09513,0.72738,0.97799,0.0091585,0.0091585,0.0091585
19,2076.17,1.11505,0.76342,0.99613,0.71779,0.63111,0.69004,0.44743,1.09859,0.73322,0.97873,0.009109,0.009109,0.009109
20,2184.16,1.10435,0.75424,0.99304,0.66769,0.63042,0.68163,0.44258,1.07644,0.72158,0.98109,0.0090595,0.0090595,0.0090595
21,2291.99,1.10252,0.75306,0.99275,0.66806,0.63177,0.68552,0.44,1.08469,0.71551,0.97851,0.00901,0.00901,0.00901
22,2401.87,1.09305,0.74333,0.98964,0.75351,0.62182,0.69321,0.45604,1.08639,0.72166,0.97712,0.0089605,0.0089605,0.0089605
23,2512.02,1.08656,0.73565,0.98872,0.76501,0.66523,0.72777,0.46797,1.08002,0.70673,0.98256,0.008911,0.008911,0.008911
24,2622.17,1.0827,0.73299,0.98858,0.69676,0.67081,0.71548,0.46976,1.06505,0.70066,0.97229,0.0088615,0.0088615,0.0088615
25,2731.85,1.06606,0.71324,0.98361,0.70655,0.68407,0.73077,0.47227,1.07327,0.70125,0.97292,0.008812,0.008812,0.008812
26,2842.75,1.07267,0.71845,0.98254,0.70423,0.67535,0.70926,0.47598,1.05701,0.69107,0.96695,0.0087625,0.0087625,0.0087625
27,2957.17,1.06688,0.71625,0.98094,0.70187,0.67769,0.72233,0.48114,1.048,0.68531,0.96053,0.008713,0.008713,0.008713
28,3073.32,1.05475,0.70457,0.97485,0.76233,0.67634,0.73923,0.48128,1.04457,0.67599,0.96263,0.0086635,0.0086635,0.0086635
29,3186.19,1.05044,0.69985,0.97467,0.75717,0.65118,0.74094,0.48079,1.04398,0.67703,0.96431,0.008614,0.008614,0.008614
30,3297.06,1.04777,0.69442,0.97304,0.68139,0.69164,0.73477,0.48101,1.04659,0.67495,0.9663,0.0085645,0.0085645,0.0085645
31,3410.16,1.045,0.69207,0.97324,0.75137,0.72557,0.76683,0.50033,1.02097,0.65647,0.9542,0.008515,0.008515,0.008515
32,3528.13,1.03415,0.68608,0.97004,0.7306,0.72529,0.75245,0.49737,1.02449,0.65921,0.95002,0.0084655,0.0084655,0.0084655
33,3642.54,1.02944,0.67952,0.96624,0.79561,0.64455,0.75289,0.499,1.0259,0.65975,0.95674,0.008416,0.008416,0.008416
34,3755.96,1.03195,0.68134,0.96808,0.72674,0.7083,0.75124,0.49181,1.02615,0.65699,0.97415,0.0083665,0.0083665,0.0083665
35,3866.19,1.0278,0.67701,0.96644,0.77311,0.65468,0.74925,0.4943,1.01796,0.65852,0.95498,0.008317,0.008317,0.008317
36,3982.99,1.01987,0.66971,0.96262,0.73466,0.7152,0.75715,0.5109,1.00972,0.64747,0.95318,0.0082675,0.0082675,0.0082675
37,4095.55,1.0167,0.66901,0.9632,0.77182,0.68757,0.75958,0.51157,1.01496,0.6457,0.95236,0.008218,0.008218,0.008218
38,4215.66,1.01021,0.66207,0.96103,0.76273,0.71735,0.77492,0.50983,1.01542,0.64264,0.96095,0.0081685,0.0081685,0.0081685
39,4335.14,1.01084,0.66278,0.95829,0.77663,0.70759,0.7778,0.52289,0.9958,0.6297,0.94937,0.008119,0.008119,0.008119
40,4452.75,1.0101,0.65768,0.95652,0.81342,0.69492,0.77709,0.5177,0.98322,0.62815,0.94211,0.0080695,0.0080695,0.0080695
41,4565.64,1.00015,0.65144,0.95401,0.77535,0.74046,0.79143,0.52797,0.99611,0.62856,0.94504,0.00802,0.00802,0.00802
42,4682.88,0.99819,0.6537,0.95498,0.76956,0.71103,0.7687,0.5169,0.98721,0.6201,0.95341,0.0079705,0.0079705,0.0079705
43,4798.17,0.9981,0.64993,0.95571,0.79749,0.70646,0.7886,0.52457,0.99161,0.62617,0.9493,0.007921,0.007921,0.007921
44,4915.47,0.99405,0.64726,0.95327,0.75249,0.73337,0.7868,0.53234,0.96677,0.60915,0.93848,0.0078715,0.0078715,0.0078715
45,5025.31,0.99058,0.64272,0.95136,0.76137,0.73665,0.78234,0.53807,0.97598,0.61335,0.94593,0.007822,0.007822,0.007822
46,5134.82,0.98399,0.63883,0.95063,0.76186,0.72733,0.77899,0.53057,0.98503,0.61452,0.94534,0.0077725,0.0077725,0.0077725
47,5244.21,0.98843,0.64233,0.95214,0.78111,0.73694,0.79025,0.54502,0.98327,0.60661,0.94785,0.007723,0.007723,0.007723
48,5353.81,0.97947,0.63364,0.94707,0.80368,0.74519,0.79473,0.55108,0.97664,0.6084,0.94159,0.0076735,0.0076735,0.0076735
49,5462.4,0.97853,0.63418,0.94933,0.80296,0.74681,0.80388,0.55067,0.98207,0.60411,0.94684,0.007624,0.007624,0.007624
50,5570.07,0.97962,0.63371,0.94569,0.76438,0.76281,0.7948,0.534,0.97901,0.6078,0.94439,0.0075745,0.0075745,0.0075745
51,5677.77,0.97133,0.62757,0.94603,0.81237,0.71848,0.78488,0.53046,0.97604,0.59632,0.94065,0.007525,0.007525,0.007525
52,5785.51,0.9643,0.62223,0.9428,0.7813,0.73901,0.79621,0.54271,0.96104,0.59341,0.9393,0.0074755,0.0074755,0.0074755
53,5893.17,0.96122,0.61889,0.94128,0.76215,0.75383,0.80422,0.54859,0.9641,0.5953,0.93893,0.007426,0.007426,0.007426
54,6000.84,0.96101,0.62382,0.94095,0.7674,0.76465,0.79362,0.54595,0.95445,0.58937,0.93151,0.0073765,0.0073765,0.0073765
55,6108.56,0.95499,0.61625,0.94035,0.8103,0.75559,0.81657,0.55814,0.95434,0.59258,0.93183,0.007327,0.007327,0.007327
56,6216.34,0.95692,0.61629,0.93915,0.74935,0.73914,0.79789,0.55143,0.94952,0.58198,0.9271,0.0072775,0.0072775,0.0072775
57,6325.08,0.95332,0.61461,0.93676,0.8154,0.75947,0.81855,0.56287,0.94649,0.58409,0.93601,0.007228,0.007228,0.007228
58,6435.9,0.95025,0.60955,0.93692,0.77302,0.76043,0.80708,0.56263,0.94198,0.57939,0.92833,0.0071785,0.0071785,0.0071785
59,6546.26,0.94499,0.60725,0.93553,0.80268,0.74793,0.8123,0.56658,0.94327,0.57808,0.92362,0.007129,0.007129,0.007129
60,6656.35,0.94861,0.60927,0.93613,0.80716,0.76909,0.81894,0.5588,0.94361,0.57659,0.93122,0.0070795,0.0070795,0.0070795
61,6766.26,0.94631,0.60658,0.93487,0.80917,0.75775,0.81064,0.55919,0.9509,0.57885,0.9281,0.00703,0.00703,0.00703
62,6874.54,0.94444,0.60374,0.93445,0.79802,0.75374,0.80935,0.56509,0.9346,0.57,0.92431,0.0069805,0.0069805,0.0069805
63,6984.52,0.93867,0.60072,0.9312,0.76907,0.78135,0.81545,0.56724,0.92897,0.57478,0.92342,0.006931,0.006931,0.006931
64,7094.91,0.93927,0.60106,0.9334,0.78061,0.76555,0.81625,0.57453,0.92287,0.57394,0.91576,0.0068815,0.0068815,0.0068815
65,7206.64,0.9327,0.5957,0.93171,0.79081,0.78702,0.82248,0.57141,0.92176,0.56688,0.92335,0.006832,0.006832,0.006832
66,7317.97,0.93169,0.59204,0.93145,0.8165,0.77812,0.8218,0.57476,0.93382,0.56661,0.9328,0.0067825,0.0067825,0.0067825
67,7426.89,0.93692,0.59744,0.93114,0.81498,0.76274,0.82151,0.57295,0.92179,0.56523,0.92523,0.006733,0.006733,0.006733
68,7538.17,0.9363,0.59733,0.93088,0.78408,0.7648,0.81626,0.57396,0.92942,0.56732,0.93007,0.0066835,0.0066835,0.0066835
69,7648.74,0.92357,0.58745,0.92843,0.78836,0.76918,0.81948,0.57745,0.91795,0.56565,0.92786,0.006634,0.006634,0.006634
70,7758.18,0.92331,0.58688,0.92681,0.78629,0.77997,0.82041,0.58055,0.91994,0.56973,0.92294,0.0065845,0.0065845,0.0065845
71,7867.57,0.92347,0.59027,0.92999,0.80076,0.77631,0.82625,0.58174,0.92064,0.56375,0.91803,0.006535,0.006535,0.006535
72,7978.6,0.92306,0.58794,0.92617,0.76916,0.80314,0.83362,0.58521,0.90811,0.55809,0.91624,0.0064855,0.0064855,0.0064855
73,8091.01,0.92446,0.58741,0.92737,0.83181,0.76462,0.83342,0.58475,0.91502,0.5555,0.91586,0.006436,0.006436,0.006436
74,8203.12,0.91582,0.58123,0.92568,0.81369,0.77498,0.82726,0.58292,0.91383,0.55569,0.91609,0.0063865,0.0063865,0.0063865
75,8312.47,0.91059,0.57994,0.92566,0.8162,0.77316,0.82482,0.58798,0.9103,0.55186,0.91762,0.006337,0.006337,0.006337
76,8422.39,0.91547,0.57872,0.92498,0.81245,0.76748,0.82971,0.58498,0.91338,0.55198,0.91967,0.0062875,0.0062875,0.0062875
77,8531.91,0.90511,0.57541,0.92231,0.81818,0.77536,0.82999,0.58446,0.90912,0.54995,0.91455,0.006238,0.006238,0.006238
78,8641.24,0.9107,0.57756,0.92461,0.82061,0.76642,0.82955,0.58743,0.9058,0.55229,0.91427,0.0061885,0.0061885,0.0061885
79,8750.75,0.90951,0.57527,0.92089,0.84267,0.75766,0.82651,0.58606,0.90488,0.54623,0.91653,0.006139,0.006139,0.006139
80,8860.32,0.90664,0.57586,0.92238,0.83151,0.75224,0.8306,0.58613,0.90778,0.54795,0.91723,0.0060895,0.0060895,0.0060895
81,8970.91,0.903,0.57114,0.91976,0.80867,0.77799,0.83047,0.5877,0.9093,0.54638,0.91963,0.00604,0.00604,0.00604
82,9082.8,0.90424,0.57218,0.91959,0.84604,0.75658,0.83263,0.5935,0.91473,0.54635,0.92739,0.0059905,0.0059905,0.0059905
83,9193.23,0.89838,0.56675,0.91927,0.82323,0.78224,0.83964,0.59752,0.90442,0.54389,0.92138,0.005941,0.005941,0.005941
84,9303.31,0.89607,0.56643,0.91936,0.82776,0.7646,0.83556,0.59762,0.90285,0.53993,0.9201,0.0058915,0.0058915,0.0058915
85,9414.17,0.90151,0.56703,0.91861,0.7893,0.79136,0.83142,0.58928,0.90047,0.54318,0.91449,0.005842,0.005842,0.005842
86,9527.08,0.89384,0.56457,0.91685,0.79962,0.79646,0.83663,0.59094,0.8953,0.54203,0.91157,0.0057925,0.0057925,0.0057925
87,9636.39,0.8964,0.56454,0.91816,0.82356,0.78287,0.83814,0.59615,0.88848,0.53683,0.9106,0.005743,0.005743,0.005743
88,9745.62,0.89256,0.56347,0.91657,0.82781,0.76519,0.83285,0.59758,0.88348,0.54041,0.90784,0.0056935,0.0056935,0.0056935
89,9859.48,0.88505,0.55809,0.9159,0.835,0.76085,0.83217,0.59285,0.88523,0.53838,0.90925,0.005644,0.005644,0.005644
90,9970.95,0.8899,0.56088,0.91647,0.8602,0.74664,0.83722,0.5976,0.87918,0.53617,0.90614,0.0055945,0.0055945,0.0055945
91,10083.8,0.88086,0.55455,0.91438,0.79854,0.79339,0.83812,0.59774,0.88135,0.53623,0.90748,0.005545,0.005545,0.005545
92,10194,0.88566,0.55652,0.91539,0.84282,0.7778,0.83672,0.60051,0.88083,0.53479,0.90808,0.0054955,0.0054955,0.0054955
93,10303.3,0.88184,0.55563,0.91459,0.8009,0.79693,0.8345,0.60297,0.87706,0.53299,0.90581,0.005446,0.005446,0.005446
94,10415.7,0.88347,0.55471,0.91264,0.80822,0.7841,0.83001,0.59786,0.88701,0.53315,0.90743,0.0053965,0.0053965,0.0053965
95,10528.7,0.88338,0.55474,0.9126,0.79136,0.80884,0.82894,0.59893,0.88352,0.53267,0.90552,0.005347,0.005347,0.005347
96,10640.4,0.87723,0.55288,0.91196,0.80763,0.7917,0.83414,0.60245,0.88321,0.53081,0.90383,0.0052975,0.0052975,0.0052975
97,10750.9,0.87683,0.5493,0.91252,0.80754,0.79711,0.83177,0.60314,0.88643,0.53191,0.90352,0.005248,0.005248,0.005248
